fullName, doB, sex, phoneNumber, universityName, gradeLevel, gpa, bestRewardName, englishScore, entryTestScore
Nguyen Van An,15/03/1995,Male,0901234567,ABC University,Senior,3.45,Outstanding Scholarship,80,75
Tran Thi Bao,20/07/1998,Female,0987654321,XYZ University,Junior,3.12,English Achievement Award,70,68
Le Minh Cuong,05/11/2000,Male,0912345678,DEF University,Sophomore,2.78,Encouragement Scholarship,65,72
Pham Thanh Dung,10/09/1997,Female,0319876543,GHI University,Freshman,3.89,Entrance Exam Prize,88,80
Hoang Van E,25/12/1996,Male,0356789123,KLM University,Senior,3.67,Special Scholarship,78,85
Vu Thi F,08/04/1999,Female,0382468135,NOP University,Junior,3.25,Academic Award,72,70
Dinh Minh Gia,18/02/1994,Male,0909876543,QRS University,Sophomore,2.95,Encouragement Scholarship,68,65
Ngo Thi Ha,30/06/2001,Female,0987654321,TUV University,Freshman,3.78,English Achievement Award,85,78
Truong Van I,12/08/1998,Male,0912345678,WXY University,Senior,3.55,Outstanding Scholarship,82,76
Ly Thi Kim,22/10/1997,Female,0319876543,ZAB University,Junior,3.02,Academic Award,68,70
Nguyen Van Long,05/09/2000,Male,0356789123,CDE University,Sophomore,2.78,Encouragement Scholarship,65,72
Tran Thi Mai,17/07/1995,Female,0382468135,FGH University,Freshman,3.89,Entrance Exam Prize,88,80
Pham Minh Nhat,28/03/1999,Male,0909876543,IJK University,Senior,3.67,Special Scholarship,78,85
Hoang Thi Oanh,10/01/1994,Female,0987654321,LMN University,Junior,3.25,Academic Award,72,70
Vu Minh Phuc,02/11/2001,Male,0912345678,OPQ University,Freshman,3.78,English Achievement Award,85,78
Dinh Thi Quyen,14/05/1998,Female,0319876543,RST University,Senior,3.55,Outstanding Scholarship,82,76
Ngo Van Quang,26/09/1997,Male,0356789123,UVW University,Junior,3.02,Academic Award,68,70
Truong Thi Suong,07/12/2000,Female,0382468135,XYZ University,Sophomore,2.78,Encouragement Scholarship,65,72
Ly Minh Tuan,19/04/1995,Male,0909876543,ABC University,Freshman,3.89,Entrance Exam Prize,88,80
